journal_entry,burnout_score,stress_score,productivity_score,engagement_score,nutrition_score,activity_score
I solved a stubborn bug and rewarded myself with a healthy meal and a short walk,0.8,0.6,0.8,0.8,0.8,0.7
I stayed tense during an outage investigation and grabbed greasy takeout,-0.9,-0.9,-0.3,-0.4,-0.7,-0.9
I cleared several backlog tickets and enjoyed a fresh salad outside,0.7,0.6,0.6,0.7,0.8,0.7
I kept getting distracted by chat messages and ate only a chocolate snack,-0.6,-0.6,-0.2,-0.3,-0.7,-0.8
I drafted a system diagram and took a calm lunch break afterwards,0.7,0.6,0.6,0.7,0.8,0.6
I stayed hunched over logs all afternoon and skipped meals,-0.7,-0.6,0.5,0.4,-0.9,-0.9
I progressed smoothly through sprint tasks and enjoyed a healthy wrap outdoors,0.7,0.6,0.7,0.7,0.8,0.7
I felt drained responding to system alerts and grabbed junk snacks,-0.8,-0.8,-0.2,-0.3,-0.6,-0.9
I revised documentation and paused for fruit and fresh air,0.6,0.5,0.5,0.6,0.8,0.6
I skipped lunch to finalize a release patch and felt tired later,-0.6,-0.6,0.6,0.5,-0.9,-0.8
I enjoyed building a small automation script and took a healthy meal break,0.8,0.6,0.8,0.8,0.8,0.7
I kept snacking on chips while struggling through a confusing error,-0.8,-0.7,-0.3,-0.4,-0.6,-0.9
I calmly reviewed pull requests and later ate a balanced lunch,0.7,0.6,0.6,0.7,0.8,0.6
I felt tense during a long standup meeting and forgot to eat,-0.7,-0.6,-0.2,-0.3,-0.8,-0.7
I made steady progress styling a frontend page and stepped outside for lunch,0.7,0.6,0.7,0.7,0.8,0.7
I chased a stubborn database bug and skipped both lunch and breaks,-0.7,-0.7,0.5,0.4,-0.9,-0.9
I calmly handled support tasks and ate a nutritious bowl,0.6,0.5,0.5,0.6,0.8,0.6
I felt overwhelmed by deadlines and grabbed candy from the office kitchen,-0.8,-0.8,-0.3,-0.4,-0.6,-0.8
I wrapped up a feature release and took a refreshing walk after lunch,0.8,0.6,0.8,0.8,0.8,0.7
I spent hours seated reviewing stack traces and ate junk food,-0.7,-0.6,-0.3,-0.4,-0.6,-0.9
I carefully debugged a performance issue and later enjoyed a healthy salad,0.7,0.6,0.7,0.7,0.8,0.6
I kept sitting through back to back meetings and skipped meals,-0.7,-0.7,-0.3,-0.4,-0.9,-0.8
I felt proud finishing a difficult refactor and took a lunch walk,0.8,0.6,0.8,0.8,0.8,0.7
I stress ate cookies during a tense outage investigation,-0.9,-0.9,-0.3,-0.4,-0.6,-0.9
I updated project documentation and enjoyed fruit and fresh air,0.6,0.5,0.5,0.6,0.8,0.6
I rushed to push commits before a deadline and forgot lunch,-0.6,-0.6,0.6,0.5,-0.9,-0.8
I felt engaged building a new feature and took a healthy lunch break,0.8,0.6,0.8,0.8,0.8,0.7
I struggled with fatigue after snacking on junk throughout the afternoon,-0.7,-0.6,-0.3,-0.4,-0.6,-0.9
I made steady backend progress and walked outside after lunch,0.7,0.6,0.7,0.7,0.8,0.7
I spent the day firefighting bugs and grabbed greasy fast food,-0.8,-0.9,-0.2,-0.3,-0.7,-0.8
I calmly finished my coding tasks and enjoyed a balanced meal and walk,0.8,0.6,0.7,0.7,0.9,0.7
